"""ORIGIN"",""-425"",""36"",""-2035"",""0"",""-90"",""0"""
"""ROOT"",""-390.445361"",""27.333223"",""-2061.09819"",""0.790998"",""-0.611479"",""0.020401"""
"""NODE"",""-390.449982"",""27.331612"",""-2060.59823"",""0.771047"",""-0.636704"",""-0.009658"""
"""NODE"",""-390.442674"",""27.321336"",""-2060.098407"",""0.746879"",""-0.663812"",""-0.039062"""
"""NODE"",""-390.423468"",""27.302604"",""-2059.599147"",""0.718152"",""-0.692553"",""-0.068031"""
"""NODE"",""-390.392384"",""27.275391"",""-2059.100875"",""0.684361"",""-0.722713"",""-0.096621"""
"""NODE"",""-390.349792"",""27.239214"",""-2058.604024"",""0.64524"",""-0.753734"",""-0.124702"""
"""NODE"",""-390.296338"",""27.193414"",""-2058.109021"",""0.60065"",""-0.784933"",""-0.151984"""
"""NODE"",""-390.232896"",""27.137234"",""-2057.616273"",""0.550664"",""-0.815364"",""-0.178748"""
"""NODE"",""-390.160153"",""27.069734"",""-2057.126241"",""0.495407"",""-0.84408"",""-0.205185"""
"""NODE"",""-390.078693"",""26.990104"",""-2056.639411"",""0.435028"",""-0.870296"",""-0.230945"""
"""NODE"",""-389.989225"",""26.897627"",""-2056.156271"",""0.369779"",""-0.893253"",""-0.255662"""
"""NODE"",""-389.892624"",""26.791619"",""-2055.677303"",""0.300042"",""-0.912199"",""-0.279048"""
"""NODE"",""-389.789921"",""26.671425"",""-2055.20298"",""0.226332"",""-0.926417"",""-0.300873"""
"""NODE"",""-389.682288"",""26.536432"",""-2054.733759"",""0.149278"",""-0.935253"",""-0.320963"""
"""NODE"",""-389.570994"",""26.38609"",""-2054.270093"",""0.069596"",""-0.938199"",""-0.339026"""
"""NODE"",""-389.457468"",""26.21992"",""-2053.812408"",""-0.01186"",""-0.934724"",""-0.355176"""
"""NODE"",""-389.342864"",""26.037714"",""-2053.361139"",""-0.094376"",""-0.924771"",""-0.368635"""
"""NODE"",""-389.228533"",""25.839414"",""-2052.916639"",""-0.177074"",""-0.908209"",""-0.379211"""
"""NODE"",""-389.115822"",""25.625154"",""-2052.47919"",""-0.259086"",""-0.885088"",""-0.386645"""
"""NODE"",""-389.006077"",""25.395247"",""-2052.04899"",""-0.339539"",""-0.85559"",""-0.390741"""
"""NODE"",""-388.900614"",""25.150178"",""-2051.62615"",""-0.417587"",""-0.820031"",""-0.391369"""
"""NODE"",""-388.800683"",""24.890598"",""-2051.210689"",""-0.492428"",""-0.778848"",""-0.388473"""
"""NODE"",""-388.707443"",""24.617303"",""-2050.80253"",""-0.563326"",""-0.732589"",""-0.382069"""
"""NODE"",""-388.621915"",""24.331215"",""-2050.401509"",""-0.629643"",""-0.681919"",""-0.372203"""
"""NODE"",""-388.544925"",""24.033404"",""-2050.007352"",""-0.690872"",""-0.627635"",""-0.358846"""
"""NODE"",""-388.47717"",""23.725075"",""-2049.619637"",""-0.746583"",""-0.570486"",""-0.342285"""
"""NODE"",""-388.419043"",""23.407317"",""-2049.238019"",""-0.796561"",""-0.511148"",""-0.32283"""
"""NODE"",""-388.370768"",""23.08113"",""-2048.862179"",""-0.840716"",""-0.450258"",""-0.300771"""
"""NODE"",""-388.332461"",""22.747472"",""-2048.491787"",""-0.879045"",""-0.388449"",""-0.276381"""
"""NODE"",""-388.304143"",""22.407268"",""-2048.126484"",""-0.911618"",""-0.326328"",""-0.249925"""
"""NODE"",""-388.285739"",""22.061425"",""-2047.765869"",""-0.938582"",""-0.264532"",""-0.221557"""
"""NODE"",""-388.277142"",""21.710959"",""-2047.409374"",""-0.960094"",""-0.203353"",""-0.19201"""
"""NODE"",""-388.278229"",""21.356768"",""-2047.056475"",""-0.976403"",""-0.143357"",""-0.161512"""
"""NODE"",""-388.288844"",""20.99974"",""-2046.706604"",""-0.9878"",""-0.084846"",""-0.130581"""
"""NODE"",""-388.308785"",""20.640719"",""-2046.359186"",""-0.994627"",""-0.028118"",""-0.099629"""
"""NODE"",""-388.337816"",""20.28051"",""-2046.013644"",""-0.997257"",""0.026584"",""-0.069072"""
"""NODE"",""-388.375676"",""19.919878"",""-2045.669399"",""-0.996089"",""0.079089"",""-0.039401"""
"""NODE"",""-388.42214"",""19.55956"",""-2045.325879"",""-0.991535"",""0.129382"",""-0.010918"""
"""NODE"",""-388.477111"",""19.200407"",""-2044.982395"",""-0.983991"",""0.177542"",""0.015515"""
"""NODE"",""-388.540545"",""18.843193"",""-2044.638349"",""-0.973884"",""0.223544"",""0.039712"""
"""NODE"",""-388.612377"",""18.48867"",""-2044.293173"",""-0.961626"",""0.267393"",""0.061458"""
"""NODE"",""-388.69254"",""18.137557"",""-2043.94635"",""-0.947605"",""0.309119"",""0.080566"""
"""NODE"",""-388.780986"",""17.790542"",""-2043.597423"",""-0.932184"",""0.348787"",""0.096855"""
"""NODE"",""-388.877702"",""17.448274"",""-2043.246011"",""-0.915703"",""0.386437"",""0.110252"""
"""NODE"",""-388.982678"",""17.111386"",""-2042.891782"",""-0.898469"",""0.422131"",""0.120662"""
"""NODE"",""-389.095938"",""16.78051"",""-2042.534454"",""-0.88075"",""0.455955"",""0.128004"""
"""NODE"",""-389.217555"",""16.456266"",""-2042.17381"",""-0.862774"",""0.487991"",""0.132238"""
"""NODE"",""-389.347701"",""16.139183"",""-2041.809794"",""-0.844683"",""0.518368"",""0.133438"""
